pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
714,203,71,71200,173480,46870,NA,W,3750,69,NA,2,1,6,3,1,3,1,5,2,0,1,1,1,2,2,2,2,3,1,2,2,0,1583,2,1,5,1,NA,NA,CHICAGO,60707,7452,0.357890499,0.316827697,0.030730005,0.257783145,0.070987654,14000,Chicago,0,0,1,0,0,0,SAYRE,STEINMETZ COLLEGE PREP HS,6.894,90058,FALSE,TRUE,TRUE
715,211,71,71150,105180,124000,NA,T,9920,104,2,1,1,9,3,1,3,1,5,2,0,1,2,0,2,NA,2,2,3,1,2,2,0,1663,2,2,5,1,NA,NA,CHICAGO,60634,7328,0.599754367,0.072734716,0.054994541,0.262827511,0.019377729,14000,Chicago,0,0,1,0,0,0,BRIDGE,STEINMETZ COLLEGE PREP HS,6.894,75339,FALSE,TRUE,TRUE
716,205,71,71371,237750,46500,NA,T,3720,68,NA,3,1,9,4,1,3,1,5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1745,2,1,2,NA,NA,1,CHICAGO,60634,5593,0.685142142,0,0.068478455,0.235830502,0.021097801,14000,Chicago,0,0,1,0,0,0,CANTY,STEINMETZ COLLEGE PREP HS,6.894,84569,FALSE,TRUE,TRUE
717,203,29,29022,127170,82450,NA,T,14991,58,NA,2,1,5,3,1,1,1,5,1,0,3,2,1,2,2,2,2,3,2,2,2,0,1068,2,1,1,NA,NA,NA,PALATINE,60074,8940,0.243736018,0.012863535,0.09541387,0.639709172,0.014765101,57225,Palatine,0,0,1,0,0,1,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,54513,FALSE,TRUE,TRUE
718,211,77,77020,144020,50340,NA,W,3596,102,2,2,1,7,4,1,3,1,5,2,0,3,2,0,2,2,2,2,1,1,2,2,0,2496,2,2,2,NA,NA,NA,CHICAGO,60651,7303,0.018759414,0.217718746,0,0.723675202,0.072983705,14000,Chicago,0,0,3,1,0,0,NOBEL,ORR HS,6.89,41931,FALSE,TRUE,TRUE
719,278,13,13210,230360,55210,NA,W,11625,22,NA,3,1,9,4,1,3,1,5,1,1,3,2,1,2,1,2,2,3,3,1,1,0,2613,2,1,2,NA,NA,NA,TINLEY PARK,60477,5099,0.811531673,0.053932144,0.019415572,0.115120612,0,75484,Tinley Park,0,0,1,0,0,0,SCHOOL DISTRICT C C  146,COMMUNITY HIGH SCHOOL  228,14.44,63191,FALSE,TRUE,TRUE
720,211,77,77013,95530,53120,NA,O,6250,112,2,1,1,6,3,1,3,1,5,2,0,1,2,1,2,2,2,2,3,1,2,2,0,1530,2,2,2,3,NA,1,CHICAGO,60651,4487,0.014486294,0.724314687,0.015377758,0.245821261,0,14000,Chicago,0,0,1,0,0,0,BRUNSON,AUSTIN CCA HS,6.89,47875,FALSE,TRUE,TRUE
721,207,18,18013,175230,56900,NA,W,9897,30,NA,1,1,6,3,3,1,1,5,1,1,3,1,1,2,2,2,2,3,1,1,1,0,1516,2,1,2,NA,NA,NA,STREAMWOOD,60107,9141,0.547970682,0.021988841,0.185537687,0.233672465,0.016847172,73157,Streamwood,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,10.958,95439,FALSE,TRUE,TRUE
722,234,13,13130,142460,28800,NA,W,7200,49,NA,3,1,7,3,3,1,1,5,2,0,3,1,1,NA,NA,2,2,3,3,1,2,0,1150,2,1,4,NA,NA,NA,OAK FOREST,60452,6335,0.781846882,0.036306235,0.049723757,0.129281768,0.005682715,54638,Oak Forest,0,0,5,0,0,0,SCHOOL DISTRICT  142,COMMUNITY HIGH SCHOOL  228,13.813,61461,FALSE,TRUE,TRUE
723,202,32,32190,40130,19150,NA,O,6386,50,NA,1,1,5,2,4,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,1,2,0,925,2,1,1,NA,NA,NA,RICHTON PARK,60471,5161,0.11858167,0.833753149,0.003681457,0.042239876,0.003487696,63706,Richton Park,0,0,1,0,0,0,SCHOOL DISTRICT 162,RICH TOWNSHIP HIGH SCHOOL  227,18.063,44595,FALSE,TRUE,TRUE
724,211,71,71070,343740,66810,AV,W,4176,47,3,2,2,10,7,1,2,1,5,2,0,3,3,2,2,2,2,2,3,1,2,2,0,3858,2,2,2,NA,NA,NA,CHICAGO,60618,7891,0.330756558,0.003294893,0.048029401,0.615511342,0.004815613,14000,Chicago,0,0,1,0,0,0,REILLY,SCHURZ HS,6.919,60745,FALSE,TRUE,TRUE
725,278,24,24031,492260,19040,NA,W,2380,5,NA,1,1,8,3,1,3,1,5,1,0,3,2,1,2,2,2,2,3,1,1,2,0,2328,2,1,2,NA,NA,NA,SKOKIE,60077,7783,0.429654375,0.06822562,0.296029809,0.133496081,0.145188231,70122,Skokie,0,0,1,0,0,0,SCHOOL DISTRICT 69,COMMUNITY HIGH SCHOOL  219,11.024,58958,FALSE,TRUE,TRUE
726,278,18,18030,279810,73840,NA,T,26851,26,NA,1,1,8,4,1,3,1,5,1,1,3,2,1,2,2,2,2,5,1,1,1,0,3096,2,1,2,3,NA,NA,BARTLETT,60103,4906,0.700774562,0.005707297,0.164084794,0.103139013,0.050346514,4013,Bartlett,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,11.245,95265,FALSE,TRUE,TRUE
727,203,71,71430,206250,66000,NA,T,5280,63,NA,2,1,5,3,1,3,1,5,1,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1096,2,1,1,NA,NA,NA,CHICAGO,60656,4700,0.797659574,8.51E-04,0.037234043,0.153617021,0.021276596,14000,Chicago,0,0,1,0,0,0,GARVY,TAFT HS,6.894,81458,FALSE,TRUE,TRUE
728,234,31,31104,188570,43240,NA,W,7208,62,NA,3,1,5,3,3,1,1,5,1,0,3,2,0,NA,NA,2,2,3,1,2,2,0,1345,2,1,4,NA,NA,NA,WESTCHESTER,60154,5569,0.664571736,0.07739271,0.059974861,0.192853295,0.010414796,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
729,204,24,24031,230420,41670,NA,W,5209,70,NA,2,1,8,4,1,3,1,5,1,0,1,1,1,2,2,2,2,3,1,2,2,0,1933,2,1,5,1,NA,NA,SKOKIE,60077,5080,0.559645669,0.022637795,0.246653543,0.163385827,0.015354331,70122,Skokie,0,0,1,0,0,0,SCHOOL DISTRICT 72,COMMUNITY HIGH SCHOOL  219,7.788,49009,FALSE,TRUE,TRUE
730,205,71,71090,341310,74310,NA,W,5125,107,NA,4,1,7,4,1,3,1,5,1,0,2,2,1,2,2,2,2,3,1,2,2,0,2166,2,1,2,3,NA,NA,CHICAGO,60641,7859,0.572846418,0.025575773,0.030538236,0.316834203,0.10510243,14000,Chicago,0,0,1,0,0,0,PORTAGE PARK,SCHURZ HS,6.884772382,76545,FALSE,TRUE,TRUE
731,207,77,77030,280160,94240,NA,W,3696,30,NA,2,1,6,3,2,3,1,5,1,1,3,2,1,2,2,2,2,3,1,2,2,0,1278,2,1,2,NA,NA,NA,CHICAGO,60647,1748,0.371853547,0.03604119,0.006292906,0.568077803,0.035469108,14000,Chicago,0,0,1,0,0,0,YATES,CLEMENTE HS,6.915,79250,FALSE,TRUE,TRUE
732,211,77,77120,314860,100360,NA,W,2952,135,2,1,1,5,3,2,3,1,5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1806,2,2,2,3,NA,NA,CHICAGO,60622,2044,0.673679061,0.023972603,0.073874755,0.200587084,0.045009785,14000,Chicago,0,0,1,0,0,0,TALCOTT,WELLS HS,6.89,107734,FALSE,TRUE,TRUE
733,278,31,31150,632760,56250,NA,T,6250,16,NA,1,1,8,4,1,3,1,5,1,1,3,2,1,2,2,2,2,7,NA,NA,NA,0,2746,2,1,2,NA,NA,NA,LA GRANGE PARK,60526,4538,0.948435434,0.005509035,0,0.043851917,0.004407228,40793,La Grange Park,0,0,1,0,0,0,SCHOOL DISTRICT  102,LYONS TOWNSHIP HIGH SCHOOL  204,9.766,135208,FALSE,FALSE,TRUE
734,295,31,31041,102210,20460,NA,O,2558,59,NA,2,1,6,3,1,3,1,5,2,0,3,1,1,NA,NA,2,2,7,NA,NA,NA,0,1218,2,1,2,NA,NA,NA,MELROSE PARK,60160,5149,0.24393086,0.027966595,0.004272674,0.72382987,0,48242,Melrose Park,0,0,4,1,0,0,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,11.117,67905,FALSE,FALSE,TRUE
735,295,28,28100,220080,33930,NA,W,3085,25,NA,3,1,5,2,1,3,1,5,1,1,3,2,0,2,NA,2,2,3,3,1,2,0,1565,2,1,1,NA,NA,NA,ORLAND PARK,60467,5109,0.830886671,0.049520454,0.080642004,0.024466628,0.028968487,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,104861,FALSE,TRUE,TRUE
736,211,37,37070,65530,23650,NA,W,8600,95,2,2,2,10,4,1,3,2,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,2392,2,2,2,NA,NA,NA,HARVEY,60426,2763,0.020267825,0.699601882,0.049945711,0.179153094,0.098805646,33383,Harvey,0,0,1,0,0,0,SCHOOL DISTRICT  152,THORNTON TOWNSHIP HIGH SCHOOL  205,26.613,21015,FALSE,TRUE,TRUE
737,203,71,71200,184690,47250,NA,W,3780,92,NA,2,1,6,3,1,3,2,5,2,0,3,1,0,NA,NA,2,2,2,1,2,2,0,1290,2,1,1,NA,NA,NA,CHICAGO,60634,4193,0.304078226,0,0.070355354,0.621273551,0.004292869,14000,Chicago,0,0,1,0,0,0,LYON,STEINMETZ COLLEGE PREP HS,6.894,61383,FALSE,TRUE,TRUE
738,203,77,77030,306570,70760,NA,W,2775,125,NA,1,1,7,4,1,1,2,2,2,0,1,1,0,2,1,2,2,7,NA,NA,NA,0,1713,2,1,5,1,NA,NA,CHICAGO,60647,1500,0.351333333,0.049333333,0.018,0.536666667,0.083333333,14000,Chicago,0,0,1,0,0,0,MOOS,CLEMENTE HS,6.89,48350,FALSE,FALSE,TRUE
739,203,72,72345,38510,22170,NA,W,4032,66,NA,1,1,4,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1102,2,1,1,NA,NA,NA,CHICAGO,60643,5973,0.001506781,0.967520509,0,0.007199062,0.047547296,14000,Chicago,0,0,1,0,0,0,"BROWN, R",FENGER HS,6.908,39231,FALSE,FALSE,TRUE
740,203,12,12022,84850,80000,NA,W,20000,63,NA,2,1,6,3,1,1,1,5,1,0,3,1,0,NA,NA,2,2,3,2,2,2,0,1250,2,1,1,NA,NA,NA,HOMEWOOD,60430,4663,0.364572164,0.529487454,0.007720352,0.044392022,0.097362213,35879,Homewood,0,0,1,0,0,0,SCHOOL DISTRICT 153,HOMEWOOD FLOSSMOOR COMM HIGH SCHOOL  233,16.657,92630,FALSE,TRUE,TRUE
741,203,35,35020,115770,100300,NA,W,23600,64,NA,3,1,6,3,4,3,1,2,2,0,1,1,1,NA,NA,2,2,3,1,2,2,0,1176,2,1,1,3,NA,NA,HOFFMAN ESTATES,60169,5926,0.478569018,0.028180898,0.261727978,0.218359771,0.026324671,35411,Hoffman Estates,0,0,1,0,0,1,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.04,64721,FALSE,TRUE,TRUE
742,203,21,21082,167690,59410,NA,W,9506,69,NA,2,1,6,3,1,3,1,5,1,0,2,1,0,NA,NA,2,2,1,2,1,2,0,1034,2,1,1,1,NA,NA,COUNTRYSIDE,60525,4163,0.695171751,0.018736488,0.011770358,0.26519337,0.018256065,16873,Countryside,0,0,1,0,0,0,SCHOOL DISTRICT  105,LYONS TOWNSHIP HIGH SCHOOL  204,8.111,64152,FALSE,TRUE,TRUE
743,202,72,72171,20360,23430,AV,W,3125,107,NA,1,1,3,2,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,660,2,1,1,NA,NA,NA,CHICAGO,60621,2910,0.003436426,0.924054983,3.44E-04,0.067353952,0.008934708,14000,Chicago,0,0,6,1,0,0,BASS,ROBESON HS,6.873317191,21266,FALSE,TRUE,FALSE
744,234,28,28043,187560,53830,NA,W,10767,35,NA,3,1,8,4,3,1,1,5,1,1,3,2,1,2,NA,2,2,3,2,1,2,0,2043,2,1,4,NA,NA,NA,TINLEY PARK,60477,6444,0.876784606,0.024518932,0.025760397,0.069056487,0.007759156,75484,Tinley Park,0,0,1,0,0,0,SCHOOL DISTRICT  140,CONSOLIDATED HIGH SCHOOL  230,11.122,99038,FALSE,TRUE,TRUE
745,204,25,25102,382920,117500,VG,T,10000,45,NA,2,1,8,4,3,3,1,5,1,1,3,2,1,2,NA,2,2,3,2,1,2,0,2232,2,1,1,NA,NA,NA,GLENVIEW,60025,5278,0.628268283,0.002273588,0.31640773,0.044903372,0.016294051,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.144,84022,FALSE,TRUE,TRUE
746,203,70,70080,87640,33890,NA,W,3766,91,NA,2,1,5,3,1,3,2,5,2,1,1,1,0,2,NA,2,2,3,1,2,2,0,1145,2,1,1,3,NA,1,CHICAGO,60649,2828,0.011315417,0.957567185,0,0.003182461,0.055869873,14000,Chicago,0,0,1,0,0,0,BOUCHET,CHICAGO VOCATIONAL HS,6.883864648,49413,FALSE,TRUE,TRUE
747,206,33,33020,657290,99750,NA,W,9500,153,NA,1,1,8,5,1,3,1,5,1,1,1,2,1,2,2,2,2,3,1,1,1,0,2880,2,1,2,1,NA,NA,RIVER FOREST,60305,5169,0.843683498,0.034629522,0.045463339,0.047397949,0.047978332,64304,River Forest,0,0,1,0,0,0,SCHOOL DISTRICT 90,CONSOLIDATED HIGH SCHOOL  200,10.646,117941,FALSE,TRUE,TRUE
748,203,39,39131,103360,32000,NA,W,6400,95,NA,3,1,6,3,1,1,1,5,2,0,1,1,1,2,2,2,2,5,1,2,2,0,1432,2,1,5,1,NA,2,BLUE ISLAND,60406,5040,0.2625,0.183134921,0.003571429,0.491666667,0.118253968,6704,Blue Island,0,0,1,0,0,0,SCHOOL DISTRICT 130,COMMUNITY HIGH SCHOOL  218,15.452,47371,FALSE,TRUE,TRUE
749,234,22,22080,225820,53590,NA,W,6916,64,NA,2,1,6,3,3,1,1,5,1,0,3,1,0,2,1,2,2,3,1,2,2,0,1138,2,1,4,NA,NA,NA,NILES,60714,5040,0.750793651,0.024603175,0.146626984,0.068055556,0.019642857,53000,Niles,0,0,1,0,0,0,SCHOOL DISTRICT  63,MAINE TOWNSHIP HIGH SCHOOL  207,8.253,71044,FALSE,TRUE,TRUE
750,209,71,71030,628160,118040,NA,W,8744,68,NA,2,1,12,6,1,1,1,5,1,0,3,4,2,2,2,2,2,3,2,1,1,0,6350,2,1,2,NA,1,NA,CHICAGO,60659,5228,0.599464422,0.031369549,0.287299158,0.064651875,0.033091048,14000,Chicago,0,0,1,0,0,0,SOLOMON,MATHER HS,6.901516611,43438,TRUE,TRUE,TRUE
751,205,17,17210,314690,126000,NA,W,10500,104,NA,1,1,7,3,1,3,2,5,1,1,2,2,1,2,2,2,2,1,1,2,2,0,1823,2,1,2,3,NA,NA,EVANSTON,60202,3658,0.405686167,0.272826681,0.015035539,0.225806452,0.155276107,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,83036,FALSE,TRUE,TRUE
752,202,32,32120,29740,27600,NA,O,8493,68,NA,3,5,4,3,2,3,1,2,2,0,2,1,3,NA,NA,2,2,3,1,2,2,0,949,2,1,1,3,NA,1,PARK FOREST,60466,4957,0.287068792,0.584426064,0,0.084123462,0.085333871,57732,Park Forest,0,0,1,0,0,0,SCHOOL DISTRICT 163,RICH TOWNSHIP HIGH SCHOOL  227,37.326,55570,FALSE,TRUE,TRUE
753,203,39,39260,151100,57810,NA,W,10512,57,NA,2,1,6,4,3,1,2,5,1,0,3,2,1,NA,NA,2,2,3,1,2,2,0,1530,2,1,1,NA,NA,2,PALOS HEIGHTS,60463,3765,0.884196547,0.007702523,0.030810093,0.077290837,0,57381,Palos Heights,0,0,1,0,0,0,SCHOOL DISTRICT  128,COMMUNITY HIGH SCHOOL  218,11.361,86944,FALSE,TRUE,TRUE
754,278,71,71071,422910,54400,NA,W,4030,13,NA,1,1,8,4,1,1,1,5,1,0,3,2,1,2,2,2,2,2,1,2,2,0,2518,2,1,2,NA,NA,NA,CHICAGO,60630,3002,0.633577615,0.008994004,0.100266489,0.215856096,0.082611592,14000,Chicago,0,0,1,0,0,0,BELDING,SCHURZ HS,6.917,82765,FALSE,TRUE,TRUE
755,202,29,29060,150970,27040,NA,W,7727,70,NA,1,1,5,2,4,3,1,5,1,0,3,1,0,2,2,2,2,1,1,2,2,0,884,2,1,1,NA,NA,NA,PALATINE,60067,4559,0.801710902,0.02039921,0.058784821,0.099363896,0.037508225,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,84615,FALSE,TRUE,TRUE
756,205,72,72282,42010,31920,NA,W,4256,81,NA,1,1,5,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1270,2,1,2,NA,NA,NA,CHICAGO,60620,2559,0,0.970691676,0,0.023055881,0.010160219,14000,Chicago,0,0,1,0,0,0,RYDER,HARLAN HS,6.908,47022,FALSE,TRUE,TRUE
757,203,31,31080,145830,31820,NA,W,6700,79,NA,2,1,5,3,3,3,1,5,1,0,1,1,1,2,2,2,2,3,1,2,2,0,1124,2,1,5,1,NA,NA,HILLSIDE,60162,5989,0.18417098,0.474870596,0.003339456,0.327433628,0.02037068,35086,Hillside,0,0,1,0,0,1,SCHOOL DISTRICT 93,PROVISO TOWNSHIP HIGH SCHOOL 209,13.077,54597,FALSE,TRUE,TRUE
758,207,16,16100,231960,56870,NA,W,8750,54,NA,1,1,6,4,2,3,1,5,1,0,3,2,1,2,NA,2,2,3,1,1,1,0,1662,2,1,2,NA,NA,NA,MOUNT PROSPECT,60056,4832,0.895074503,0,0.004966887,0.093336093,0.013245033,51089,Mount Prospect,0,0,6,1,0,0,SCHOOL DISTRICT C C  59,ARLINGTON HTS TWNSHP H S 214,8.666,102135,FALSE,TRUE,TRUE
759,202,31,31032,92770,22860,NA,W,4158,65,NA,2,1,6,3,1,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,984,2,1,1,NA,NA,1,BELLWOOD,60104,3294,0.060412872,0.729204614,0,0.149969642,0.08955677,4975,Bellwood,0,1,9,1,0,0,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,19.52,63141,FALSE,TRUE,TRUE
760,203,72,72070,63870,26560,NA,W,3125,102,NA,1,1,4,2,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1050,2,1,1,NA,NA,NA,CHICAGO,60629,5845,0.042429427,0.50453379,0,0.435243798,0.035585971,14000,Chicago,0,0,1,0,0,0,MARQUETTE,GAGE PARK HS,6.934,27423,FALSE,TRUE,TRUE
761,202,37,37181,58810,39600,NA,W,10560,63,NA,1,1,5,2,4,3,1,5,2,0,3,1,0,2,NA,2,2,3,1,2,2,0,960,2,1,1,NA,NA,1,LANSING,60438,4141,0.348708042,0.503260082,0,0.113740642,0.068582468,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,53343,FALSE,TRUE,TRUE
762,205,71,71150,293820,48430,NA,W,3875,96,NA,1,1,7,4,1,3,1,5,1,0,1,2,0,NA,NA,2,2,3,1,2,2,0,2016,2,1,2,3,1,1,CHICAGO,60634,4246,0.457371644,0.020018841,0.08313707,0.422515309,0.02119642,14000,Chicago,0,0,1,0,0,0,REINBERG,SCHURZ HS,6.884772382,67500,FALSE,TRUE,TRUE
763,295,29,29170,151340,29250,NA,W,2340,37,NA,1,1,5,2,1,3,1,5,1,1,3,1,1,2,NA,2,2,1,1,1,2,0,1196,2,1,2,NA,NA,NA,PALATINE,60067,7294,0.663421991,0.040855498,0.135316699,0.152042775,0.014943789,57225,Palatine,0,0,1,0,0,1,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,65639,FALSE,TRUE,TRUE
764,202,36,36012,130360,41650,NA,W,5375,67,NA,1,1,4,2,1,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,969,2,1,1,NA,NA,NA,STICKNEY,60402,6732,0.392305407,0.004901961,0.020944742,0.543969103,0.075757576,72676,Stickney,0,0,9,0,0,0,SCHOOL DISTRICT  103,BERWYN CICERO STICKNEY HIGH SCHOOL 201,14.685,59467,FALSE,TRUE,TRUE
765,203,31,31190,125510,28360,NA,W,3660,63,NA,2,1,5,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1080,2,1,1,NA,NA,NA,STONE PARK,60165,2821,0.166253102,0.079049982,0.016306274,0.733427862,0.008153137,72923,Stone Park,0,1,4,1,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,17.095,48381,FALSE,TRUE,TRUE
766,203,39,39211,130570,30250,NA,O,6050,51,NA,3,1,5,3,3,1,1,5,1,0,3,1,1,NA,NA,2,2,1,2,1,2,0,1000,2,1,1,NA,NA,NA,CRESTWOOD,60418,6296,0.902795426,0.026365947,0.024459975,0.046060991,3.18E-04,17497,Crestwood,0,0,7,1,0,0,SCHOOL DISTRICT 130,COMMUNITY HIGH SCHOOL  218,11.639,63017,FALSE,TRUE,TRUE
767,234,38,38013,171610,57960,NA,W,10080,61,NA,3,1,8,4,3,1,1,2,2,0,3,1,1,2,2,2,2,1,1,1,1,0,1698,2,1,4,NA,NA,NA,WHEELING,60090,5487,0.504829597,0.034991799,0.103152907,0.328230363,0.053034445,81087,Wheeling,0,0,1,0,0,0,SCH DIST 21 WHEELING COMM CONSOLIDATED,ARLINGTON HTS TWNSHP H S 214,11.237,60833,FALSE,TRUE,TRUE
768,203,18,18070,159690,43620,NA,W,12465,51,NA,3,2,8,3,1,1,1,5,1,1,3,1,1,NA,NA,2,2,3,1,1,2,0,1282,2,1,1,NA,NA,NA,HANOVER PARK,60133,6495,0.279907621,0.021247113,0.086374134,0.583987683,0.056966898,32746,Hanover Park,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,11.557,74792,FALSE,TRUE,TRUE
769,234,32,32226,51550,33600,NA,W,9600,61,NA,3,1,5,3,3,1,1,5,1,0,3,1,1,2,2,2,2,1,3,1,2,0,1652,2,1,4,NA,NA,NA,PARK FOREST,60466,3170,0.186750789,0.695583596,0,0.005993691,0.199684543,57732,Park Forest,0,0,1,0,0,1,SCHOOL DISTRICT 162,RICH TOWNSHIP HIGH SCHOOL  227,30.793,71744,FALSE,TRUE,TRUE
770,207,18,18012,178330,46230,NA,W,6164,26,NA,1,1,6,3,1,3,1,5,1,1,3,2,1,2,NA,2,2,3,1,1,2,0,1625,2,1,2,NA,NA,NA,BARTLETT,60103,12447,0.544629228,0.020245842,0.263517313,0.14083715,0.049971881,4013,Bartlett,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,11.245,97684,FALSE,TRUE,TRUE
771,202,20,20030,132650,30470,NA,W,4688,64,NA,2,1,4,2,1,3,1,5,1,0,3,1,0,2,2,2,2,4,1,2,2,0,861,2,1,1,NA,NA,NA,FRANKLIN PARK,60131,4995,0.612612613,0.024824825,0.021021021,0.320720721,0.03963964,27702,Franklin Park,0,0,1,0,0,0,SCHOOL DISTRICT  84,COMMUNITY HIGH SCHOOL  212,11.882,63495,FALSE,TRUE,TRUE
772,295,39,39210,178700,30870,NA,W,6500,22,NA,2,1,5,2,3,3,1,5,1,0,3,2,0,2,2,2,2,3,2,1,2,0,1703,2,1,1,NA,NA,NA,OAK LAWN,60453,4691,0.719889149,0.036026434,0.021317416,0.220422085,0.004689832,54820,Oak Lawn,0,0,1,0,0,0,SCHOOL DISTRICT  126,COMMUNITY HIGH SCHOOL  218,12.256,68208,FALSE,TRUE,TRUE
773,295,23,23141,636060,47610,NA,T,1984,52,NA,2,1,6,3,1,1,1,5,1,1,3,2,1,2,2,2,2,1,1,2,2,0,1715,2,1,2,NA,NA,NA,WILMETTE,60091,3503,0.852697688,0.00685127,0.076220383,0.039680274,0.049100771,82075,Wilmette,0,0,1,0,0,0,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,194423,FALSE,TRUE,TRUE
774,295,21,21151,265790,22810,NA,W,2028,19,NA,3,1,6,2,1,3,1,5,1,1,3,1,1,2,2,2,2,3,3,1,1,0,1685,2,1,1,NA,NA,NA,WILLOW SPRINGS,60480,7653,0.773030184,0.008493401,0.05370443,0.133542402,0.05880047,82049,Willow Springs,0,0,1,0,0,0,SCHOOL DISTRICT 107,LYONS TOWNSHIP HIGH SCHOOL  204,8.305,106317,FALSE,TRUE,TRUE
775,211,37,37052,164850,18450,AV,W,4920,48,2,2,1,12,6,1,3,1,5,1,0,3,3,2,2,NA,2,2,3,1,2,2,0,2841,2,2,2,NA,NA,NA,CALUMET CITY,60409,3601,0.029991669,0.929741738,0.001943904,0.038322688,0,10487,Calumet City,0,0,4,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.315,44456,FALSE,TRUE,TRUE
776,278,28,28100,359530,66490,NA,W,10230,25,NA,2,1,9,5,1,3,1,5,1,1,3,2,1,2,2,2,2,4,2,1,1,0,3741,2,1,2,NA,NA,NA,ORLAND PARK,60467,8884,0.861548852,0.012606934,0.045587573,0.055718145,0.049076992,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,105942,FALSE,TRUE,TRUE
777,203,37,37024,42350,18560,NA,O,4950,71,NA,3,1,6,3,1,3,1,5,2,0,1,1,1,2,NA,2,2,7,NA,NA,NA,0,1203,2,1,5,1,NA,NA,DOLTON,60419,6330,0.069352291,0.875987362,0.005055292,0.03728278,0.02464455,20292,Dolton,0,0,6,0,0,0,SCHOOL DISTRICT  148,THORNTON TOWNSHIP HIGH SCHOOL  205,30.059,41653,FALSE,FALSE,TRUE
778,205,72,72345,62420,23670,NA,W,4305,71,NA,2,1,7,3,3,1,1,5,2,0,3,1,1,2,2,2,2,3,1,2,2,0,1220,2,1,2,NA,NA,NA,CHICAGO,60628,4644,0.019164513,0.954134367,0,0.012489233,0.028423773,14000,Chicago,0,0,2,1,0,0,OWENS,FENGER HS,6.908,44436,FALSE,TRUE,TRUE
